          Index              t             Ts          Value
                           [s]           [°C]           [mW]
            394            394        146.777        1.17169
            395            395        147.282        1.24315
            396            396        147.788        1.31874
            397            397        148.293         1.3973
            398            398        148.799        1.47962
            399            399        149.305         1.5655
            400            400        149.811        1.65513
            401            401        150.317         1.7472
            402            402        150.824        1.84734
            403            403        151.331        1.95183
            404            404        151.838        2.06064
            405            405        152.346        2.17071
            406            406        152.853        2.28995
            407            407        153.361        2.41306
            408            408        153.869        2.54134
            409            409        154.378        2.67324
            410            410        154.886        2.81313
            411            411        155.395        2.95751
            412            412        155.905        3.10765
            413            413        156.414        3.26098
            414            414        156.924        3.42418
            415            415        157.434        3.59319
            416            416        157.945        3.76962
            417            417        158.456        3.95119
            418            418        158.967        4.14492
            419            419        159.479        4.34392
            420            420        159.991        4.54989
            421            421        160.504        4.76129
            422            422        161.017        4.98575
            423            423         161.53        5.21652
            424            424        162.044        5.45527
            425            425        162.558        5.69946
            426            426        163.073        5.95961
            427            427        163.588        6.22742
            428            428        164.103        6.50502
            429            429         164.62        6.78956
            430            430        165.136         7.0903
            431            431        165.654        7.40026
            432            432        166.171        7.72133
            433            433         166.69         8.0503
            434            434        167.209        8.39841
            435            435        167.728        8.75601
            436            436        168.249         9.1254
            437            437        168.769        9.50309
            438            438        169.291        9.90176
            439            439        169.813        10.3116
            440            440        170.336        10.7351
            441            441        170.859        11.1684
            442            442        171.384        11.6248
            443            443        171.909        12.0929
            444            444        172.435        12.5752
            445            445        172.961        13.0732
            446            446        173.488        13.5816
            447            447        174.017        14.1156
            448            448        174.546        14.6633
            449            449        175.075        15.2268
            450            450        175.606        15.8016
            451            451        176.137        16.4036
            452            452         176.67        17.0193
            453            453        177.203         17.651
            454            454        177.736        18.2934
            455            455        178.271        18.9641
            456            456        178.807        19.6484
            457            457        179.344        20.3483
            458            458        179.881        21.0589
            459            459        180.419         21.796
            460            460        180.958        22.5457
            461            461        181.498        23.3098
            462            462        182.038        24.0839
            463            463        182.579        24.8808
            464            464        183.121        25.6883
            465            465        183.663        26.5079
            466            466        184.206        27.3355
            467            467         184.75        28.1786
            468            468        185.294        29.0285
            469            469        185.838        29.8873
            470            470        186.383        30.7541
            471            471        186.928        31.6286
            472            472        187.473         32.503
            473            473        188.019        33.3771
            474            474        188.564        34.2511
            475            475        189.109         35.122
            476            476        189.654        35.9877
            477            477        190.199        36.8457
            478            478        190.743        37.6976
            479            479        191.286        38.5299
            480            480        191.829         39.348
            481            481        192.371        40.1479
            482            482        192.912        40.9345
            483            483        193.452        41.6828
            484            484         193.99        42.4077
            485            485        194.527        43.1037
            486            486        195.063        43.7785
            487            487        195.597        44.3971
            488            488        196.128        44.9844
            489            489        196.658        45.5327
            490            490        197.187        46.0531
            491            491        197.712        46.5031
            492            492        198.236        46.9142
            493            493        198.757        47.2787
            494            494        199.276        47.6109
            495            495        199.792        47.8635
            496            496        200.306        48.0747
            497            497        200.817        48.2363
            498            498        201.327        48.3637
            499            499        201.833        48.4067
            500            500        202.337        48.4069
            501            501        202.838         48.358
            502            502        203.338        48.2759
            503            503        203.833        48.1148
            504            504        204.327        47.9139
            505            505        204.819        47.6676
            506            506        205.309        47.3907
            507            507        205.796        47.0449
            508            508        206.281         46.665
            509            509        206.765        46.2467
            510            510        207.247        45.8029
            511            511        207.726        45.3024
            512            512        208.204        44.7751
            513            513        208.681        44.2182
            514            514        209.156        43.6328
            515            515        209.631        43.0298
            516            516        210.103        42.3895
            517            517        210.575        41.7318
            518            518        211.046        41.0558
            519            519        211.516        40.3683
            520            520        211.985        39.6554
            521            521        212.453        38.9328
            522            522        212.921        38.1996
            523            523        213.389        37.4595
            524            524        213.856        36.7073
            525            525        214.323        35.9506
            526            526        214.789        35.1896
            527            527        215.255        34.4271
            528            528        215.722        33.6619
            529            529        216.188        32.8975
            530            530        216.654        32.1336
            531            531        217.121        31.3709
            532            532        217.587        30.6119
            533            533        218.054        29.8556
            534            534        218.521        29.1054
            535            535        218.988        28.3594
            536            536        219.455        27.6226
            537            537        219.923        26.8918
            538            538        220.391        26.1662
            539            539        220.859        25.4443
            540            540        221.328        24.7425
            541            541        221.798        24.0485
            542            542        222.267        23.3636
            543            543        222.738        22.6853
            544            544        223.209        22.0241
            545            545         223.68         21.372
            546            546        224.152        20.7309
            547            547        224.624        20.0973
            548            548        225.098        19.4908
            549            549        225.572          18.89
            550            550        226.046        18.2939
            551            551         226.52        17.7042
            552            552        226.995        17.1345
            553            553        227.471        16.5755
            554            554        227.948        16.0282
            555            555        228.424        15.4883
            556            556        228.902        14.9665
            557            557         229.38         14.455
            558            558        229.859        13.9551
            559            559        230.338        13.4631
            560            560        230.817        12.9894
            561            561        231.298        12.5246
            562            562        231.778          12.07
            563            563        232.259        11.6224
            564            564        232.741        11.1908
            565            565        233.224        10.7678
            566            566        233.706        10.3545
            567            567        234.189        9.94765
            568            568        234.673        9.55743
            569            569        235.157        9.17501
            570            570        235.642        8.80206
            571            571        236.127        8.43635
            572            572        236.612        8.08467
            573            573        237.098        7.74078
            574            574        237.585        7.40652
            575            575        238.071        7.07923
            576            576        238.559        6.76603
            577            577        239.046        6.46027
            578            578        239.535        6.16273
            579            579        240.023        5.87158
            580            580        240.512        5.59275
            581            581        241.001        5.32118
            582            582        241.491        5.05767
            583            583        241.981        4.80205
            584            584        242.472        4.55178
            585            585        242.963        4.31479
            586            586        243.454        4.08444
            587            587        243.945        3.86163
            588            588        244.437        3.64376
            589            589         244.93        3.43763
            590            590        245.422        3.23746
            591            591        245.915        3.04416
            592            592        246.409        2.85557
            593            593        246.902        2.67774
            594            594        247.396        2.50519
            595            595        247.891        2.33913
            596            596        248.385        2.17773
            597            597         248.88        2.02597
            598            598        249.375        1.87882
            599            599         249.87        1.73722
            600            600        250.366        1.60035
            601            601        250.862        1.47348
            602            602        251.358        1.35123
            603            603        251.855        1.23429
            604            604        252.352        1.12119
            605            605        252.849        1.01804
            606            606        253.346       0.919408
            607            607        253.844       0.825652
            608            608        254.342       0.735231
            609            609         254.84       0.653637
            610            610        255.338        0.57698
            611            611        255.837       0.505152
            612            612        256.335       0.436901
            613            613        256.834       0.376978
            614            614        257.334       0.321308
            615            615        257.833       0.269683
            616            616        258.333       0.219649
            617            617        258.833       0.177223
            618            618        259.333       0.137859
            619            619        259.833        0.10392
            620            620        260.333      0.0724106
            621            621        260.834      0.0460157
            622            622        261.335      0.0244856
            623            623        261.836     0.00654888
            624            624        262.337    -0.00884151
            625            625        262.838     -0.0192566
            626            626        263.339     -0.0274582
            627            627        263.841     -0.0329943
            628            628        264.342     -0.0366211
            629            629        264.844     -0.0367446
            630            630        265.346        -0.0355
